source_name,source_type,source_url,license_status,usage_notes,is_active
FIFA public tournament pages,web,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,reference_only,"Use as public reference for schedule, host cities and venue names; do not scrape or republish beyond fair reference without legal review.",true
FIFA Match Centre,web,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center,reference_only,"Primary reference for official scorers, goal minutes, lineups, substitutions and match events. Use for verification and manual structured backfill; rights review required before automated scraping or republishing.",true
OpenFootball worldcup.json,api,https://github.com/openfootball/worldcup.json,CC0-1.0 public domain,"Full 2026 schedule in JSON, no API key; use as machine-readable schedule feed and cross-check against FIFA.",true
Open-Meteo Forecast API,api,https://api.open-meteo.com/v1,CC BY 4.0 attribution required,"Forecast weather, no API key for non-commercial MVP use; attribution required.",true
Open-Meteo Archive API,api,https://archive-api.open-meteo.com/v1,CC BY 4.0 attribution required,"Historical and actual weather after matches; use date windows and store retrieval time.",true
REST Countries API,api,https://restcountries.com/v3.1,public API,"Country ISO codes, capitals and translations; verify availability and rate limits before production.",true
ESPN Soccer match pages,web,https://www.espn.com/soccer/fixtures/_/league/fifa.world,reference_only,"Secondary cross-check for fixtures, scorers, lineups and substitution logs when official match-centre details need independent verification. Use as editorial validation source, not as a redistribution feed.",true
AP match reports,web,https://apnews.com/hub/soccer,reference_only,"Serious secondary source for fixed final results, scorers and key match incidents when public structured feeds lag behind. Best used for manual verification, not automated extraction.",true
FIFA official ranking pages,web,https://inside.fifa.com/en/fifa-world-ranking/men,reference_only,"Official ranking reference; do not scrape for production without rights review or API terms.",false
Sportradar Soccer Extended API,api,https://developer.sportradar.com/,requires_license,"Commercial structured ranking, fixtures, standings and result data; requires account and contract.",false
Footballdata.io FIFA Rankings API,api,https://footballdata.io/documentation/fifa-rankings/,requires_api_key,"Structured FIFA rankings API; evaluate terms and add SPORT_DATA_API_KEY before production import.",false
